mname,date,Inactive Users,1st Time Openers,First Open %,Opens From 1st Users,Opens per New User,Total Opens,% of Opens From New Users,1st Time Clickers,First Click %,Clicks From 1st Users,Clicks per New User,Total Clicks,% of Clicks From New Users
Sample TRG,2022-11-17,169,4,1.73,7,2.33,21,33.33,4,2.31,4,1.0,9,44.44
Sig. Surveys (GF Marketing),2022-11-17,7554,39,0.21,76,4.75,"62,481",0.12,39,0.51,70,1.79,"1,292",5.42
GetPaidToTry TRG,2022-11-17,49929,369,0.32,570,3.5,"164,401",0.35,369,0.73,641,1.74,"8,101",7.91
GiftCardGrabber,2022-11-17,13682,35,0.12,102,6.0,"3,984",2.56,35,0.26,59,1.69,216,27.31
Major 2019,2022-11-17,791,3,0.38,3,1.0,349,0.86,3,0.38,3,1.0,7,42.86
Major C,2022-11-17,252,3,1.18,5,1.67,473,1.06,3,1.18,3,1.0,3,100.0
GPTTZ1,2022-11-17,50431,282,0.21,368,3.38,"98,606",0.37,282,0.56,386,1.37,"3,028",12.75
SigCo,2022-11-17,15588,26,0.12,48,2.53,"6,708",0.72,26,0.17,43,1.65,311,13.83
Samplegrabber special,2022-11-17,5032,26,0.1,34,6.8,"34,208",0.1,26,0.51,46,1.77,"1,417",3.25
GiftCardGrabber,2022-11-17,22720,255,0.46,680,6.42,"188,888",0.36,255,1.11,552,2.16,"12,221",4.52
SigM1,2022-11-17,34745,23,0.04,33,2.36,"4,611",0.72,23,0.07,30,1.3,434,6.91
SigN,2022-11-17,273802,211,0.04,180,1.75,"25,055",0.72,211,0.08,249,1.18,"1,849",13.47
GPTT,2022-11-17,2966,21,0.37,44,4.0,"1,589",2.77,21,0.7,36,1.71,164,21.95
MyShopDiscounts,2022-11-17,104730,207,0.06,132,2.16,"131,061",0.1,207,0.2,300,1.45,"5,740",5.23
gcgSGRB,2022-11-17,15103,204,0.5,308,4.05,"110,917",0.28,204,1.33,337,1.65,"4,262",7.91
HiddenMoneyFinder MIKD,2022-11-17,20,2,9.09,5,2.5,19,26.32,2,9.09,2,1.0,3,66.67
SigM2,2022-11-17,1599,2,0.12,2,1.0,21,9.52,2,0.12,2,1.0,6,33.33
MJSK1,2022-11-17,943,2,0.21,5,2.5,8,62.5,2,0.21,3,1.5,4,75.0
GPTTco,2022-11-17,17636,193,0.4,295,4.15,"116,123",0.25,193,1.08,336,1.74,"4,603",7.3
GiftCardGrabber 2,2022-11-17,14311,19,0.09,55,4.23,"1,491",3.69,19,0.13,35,1.84,192,18.23
Sig TRG,2022-11-17,22357,175,0.34,460,5.97,"54,018",0.85,175,0.78,323,1.85,"2,486",12.99
Major Sweeps 2,2022-11-17,9996,165,0.97,584,5.9,"75,129",0.78,165,1.62,298,1.81,"2,979",10.0
SweepsMonthly,2022-11-17,23023,16,0.03,12,1.5,"7,871",0.15,16,0.07,19,1.19,421,4.51
MAJORSWEEPS MIKD,2022-11-17,4425,16,0.18,9,1.12,387,2.33,16,0.36,16,1.0,70,22.86
SignatureSurveys,2022-11-17,10689,158,0.78,809,9.52,"107,142",0.76,158,1.46,360,2.28,"3,762",9.57
Major (Dave),2022-11-17,24240,154,0.23,332,5.82,"244,336",0.14,154,0.63,307,1.99,"10,567",2.91
MSDZ1,2022-11-17,56860,150,0.14,420,5.19,"24,064",1.75,150,0.26,278,1.85,"1,735",16.02
MajorM2,2022-11-17,42509,143,0.14,229,3.88,"95,742",0.24,143,0.34,246,1.72,"4,138",5.94
MajorSweeps,2022-11-17,13770,137,0.32,210,4.67,"90,736",0.23,137,0.99,210,1.53,"2,136",9.83
GPTT C,2022-11-17,13856,126,0.21,69,2.38,"204,279",0.03,126,0.9,159,1.26,"7,003",2.27
GiftCardGrabber A,2022-11-17,16693,121,0.36,518,8.49,"47,967",1.08,121,0.72,242,2.0,"2,558",9.46
GPTT A,2022-11-17,4125,12,0.24,54,5.4,418,12.92,12,0.29,22,1.83,58,37.93
IWS,2022-11-17,195,11,3.88,65,8.12,"5,069",1.28,11,5.34,32,2.91,275,11.64
GPTTN2,2022-11-17,11780,109,0.49,297,5.12,"26,428",1.12,109,0.92,182,1.67,"1,612",11.29
Major Sweeps 4,2022-11-17,10884,108,0.52,270,4.74,"65,884",0.41,108,0.98,182,1.69,"1,981",9.19
GiftCardGrabber,2022-11-17,667,10,1.03,16,2.29,291,5.5,10,1.48,15,1.5,50,30.0
InstantWinnerSweeps,2022-11-17,38,1,2.56,4,4.0,16,25.0,1,2.56,1,1.0,1,100.0
GCG MIKD,2022-11-17,690,1,0.14,1,1.0,22,4.55,1,0.14,1,1.0,4,25.0
GetPaidtoTry PNT,2022-11-17,290,1,0.34,3,3.0,13,23.08,1,0.34,1,1.0,1,100.0
SignatureSurveys,2022-11-17,273,1,0.36,1,1.0,8,12.5,1,0.36,1,1.0,3,33.33
GETPAIDTOTRY MIKD,2022-11-17,785,1,0.13,3,3.0,19,15.79,1,0.13,2,2.0,3,66.67
SweepsGen TRG,2022-11-17,332,1,0.3,2,2.0,11,18.18,1,0.3,1,1.0,6,16.67
MajorSweeps,2022-11-18,23345,84,0.24,120,2.14,"5,300",2.26,84,0.36,97,1.15,247,39.27
swpgenSGRB,2022-11-18,2773,8,0.22,12,2.0,77,15.58,8,0.29,9,1.12,14,64.29
SIGNATURESURVEYS MIKD,2022-11-18,1390,8,0.36,6,1.2,27,22.22,8,0.57,8,1.0,10,80.0
GPTTZ1,2022-11-18,46576,740,0.89,"1,896",4.51,"71,173",2.66,740,1.56,"1,008",1.36,"2,534",39.78
gpttSGRB,2022-11-18,4404,71,0.87,116,2.97,"36,935",0.31,71,1.59,92,1.3,749,12.28
Samplegrabber special,2022-11-18,4852,70,0.59,74,2.55,"22,777",0.32,70,1.42,89,1.27,927,9.6
GPTTM1,2022-11-18,2469,7,0.2,17,3.4,225,7.56,7,0.28,8,1.14,9,88.89
GPTT C,2022-11-18,219174,686,0.15,861,2.54,"232,739",0.37,686,0.31,907,1.32,"9,068",10.0
Sig. Surveys (GF Marketing),2022-11-18,7323,68,0.38,96,3.43,"55,707",0.17,68,0.92,90,1.32,"1,188",7.58
GiftCardGrabber,2022-11-18,18407,68,0.27,107,2.18,"3,662",2.92,68,0.37,83,1.22,194,42.78
Sweepsgen2,2022-11-18,7079,67,0.62,157,3.57,"52,633",0.3,67,0.94,82,1.22,"1,763",4.65
MSDZ1,2022-11-18,56058,668,0.76,"1,833",4.24,"24,043",7.62,668,1.18,"1,081",1.62,"2,142",50.47
MajorM2,2022-11-18,42254,667,0.89,"1,240",3.23,"72,819",1.7,667,1.55,889,1.33,"3,918",22.69
gcgSGRB,2022-11-18,13901,655,2.44,"1,215",3.42,"89,075",1.36,655,4.5,929,1.42,"4,078",22.78
MajorM1,2022-11-18,7966,59,0.49,114,2.92,"32,788",0.35,59,0.74,78,1.32,838,9.31
SweepsMonthly,2022-11-18,23094,55,0.1,46,2.0,"6,458",0.71,55,0.24,57,1.04,341,16.72
SigN,2022-11-18,279458,537,0.09,581,2.26,"19,368",3.0,537,0.19,627,1.17,"1,858",33.75
GPTTco,2022-11-18,16026,518,1.8,"1,436",4.82,"74,046",1.94,518,3.13,829,1.6,"3,329",24.9
mjsSGRB,2022-11-18,311,5,0.95,4,1.33,181,2.21,5,1.58,5,1.0,13,38.46
SigCo,2022-11-18,15655,46,0.15,45,1.88,"5,038",0.89,46,0.29,50,1.09,233,21.46
SignatureSurveys,2022-11-18,10183,457,2.89,"1,605",5.23,"107,573",1.49,457,4.3,764,1.67,"3,568",21.41
MyShopDiscounts,2022-11-18,105130,456,0.23,843,3.5,"85,494",0.99,456,0.43,704,1.54,"3,937",17.88
Major (Dave),2022-11-18,21984,421,0.91,"1,341",6.54,"232,414",0.58,421,1.88,834,1.98,"10,106",8.25
GPTT (Dave),2022-11-18,23674,42,0.12,69,2.46,717,9.62,42,0.18,55,1.31,74,74.32
GiftCardGrabber 2,2022-11-18,6867,42,0.51,139,3.97,"1,039",13.38,42,0.61,54,1.29,82,65.85
GPTT,2022-11-18,2367,41,1.12,88,3.26,"1,562",5.63,41,1.7,51,1.24,108,47.22
Major Sweeps 2,2022-11-18,9840,354,2.27,"1,319",5.71,"67,832",1.94,354,3.47,550,1.55,"2,803",19.62
MajorSweeps,2022-11-18,25757,312,0.74,618,3.2,"85,900",0.72,312,1.2,422,1.35,"1,904",22.16
Sig (Dave),2022-11-18,11623,304,1.47,793,4.53,"149,213",0.53,304,2.55,495,1.63,"9,003",5.5
GPTTN2,2022-11-18,10419,303,1.77,527,2.77,"22,391",2.35,303,2.83,374,1.23,"1,261",29.66
Sig TRG,2022-11-18,20319,300,0.81,827,4.98,"39,765",2.08,300,1.45,458,1.53,"1,757",26.07
MJSK1,2022-11-18,1373,3,0.15,2,1.0,9,22.22,3,0.22,3,1.0,4,75.0
HiddenMoneyFinder MIKD,2022-11-18,17,3,15.0,3,1.0,7,42.86,3,15.0,3,1.0,3,100.0
Major 2019,2022-11-18,809,3,0.37,8,2.67,213,3.76,3,0.37,4,1.33,4,100.0
Signature 2019,2022-11-18,173208,297,0.1,447,2.61,"92,089",0.49,297,0.17,376,1.27,"4,088",9.2
GiftCardGrabber A,2022-11-18,18760,291,0.81,836,5.43,"43,466",1.92,291,1.53,452,1.55,"2,121",21.31
giftcardgrabber,2022-11-18,25065,281,0.71,424,2.34,"21,249",2.0,281,1.11,344,1.22,"1,220",28.2
Major Sweeps 4,2022-11-18,10705,271,1.51,684,4.12,"69,453",0.98,271,2.47,383,1.41,"1,689",22.68
GiftCardGrabber,2022-11-18,652,25,2.95,38,1.9,214,17.76,25,3.69,30,1.2,34,88.24
Major Sweeps 3,2022-11-18,22008,239,0.61,414,3.07,"60,187",0.69,239,1.07,296,1.24,"1,312",22.56
GPTT A,2022-11-18,3762,23,0.37,29,2.07,258,11.24,23,0.61,28,1.22,38,73.68
Giftcardgrabber,2022-11-18,47189,208,0.18,164,1.95,"9,621",1.7,208,0.44,232,1.12,978,23.72
IWS,2022-11-18,158,20,7.87,56,4.0,"3,667",1.53,20,11.24,38,1.9,242,15.7
GCG MIKD,2022-11-18,844,2,0.24,9,4.5,33,27.27,2,0.24,2,1.0,2,100.0
InstantWinnerSweeps,2022-11-18,20,2,9.09,4,2.0,11,36.36,2,9.09,2,1.0,2,100.0
SigM1,2022-11-18,34096,191,0.32,174,1.57,"3,408",5.11,191,0.56,223,1.17,379,58.84
MajorSweeps,2022-11-18,1466,19,1.01,30,2.0,543,5.52,19,1.28,25,1.32,44,56.82
SignatureSurveys A,2022-11-18,6895,147,1.15,425,5.25,"21,695",1.96,147,2.09,217,1.48,728,29.81
GCGZ1,2022-11-18,17705,138,0.55,321,3.24,"19,740",1.63,138,0.77,186,1.35,681,27.31
Sweepsgen (Dave),2022-11-18,18596,136,0.43,368,4.6,"78,673",0.47,136,0.73,213,1.57,"2,767",7.7
MAJORSWEEPS MIKD,2022-11-18,1083,13,0.55,8,1.33,206,3.88,13,1.19,13,1.0,30,43.33
SampleThat C,2022-11-18,250,12,3.05,15,1.88,626,2.4,12,4.58,12,1.0,12,100.0
GPTT (GF Marketing),2022-11-18,3779,106,2.08,281,3.47,"2,204",12.75,106,2.73,192,1.81,304,63.16
GetPaidToTry TRG,2022-11-18,44812,"1,375",1.91,"3,263",3.7,"168,999",1.93,1375,2.98,"2,221",1.62,"10,487",21.18
GIFTCARDGRABBER MIKD,2022-11-18,14655,"1,200",5.68,"2,983",3.31,"42,275",7.06,1200,7.57,"1,859",1.55,"5,587",33.27
GiftCardGrabber,2022-11-18,25043,"1,060",3.07,"4,928",6.15,"199,025",2.48,1060,4.06,"2,232",2.11,"13,061",17.09
GPTTN,2022-11-18,23839,"1,057",2.59,"2,137",3.31,"46,433",4.6,1057,4.25,"1,489",1.41,"4,054",36.73
sigSGRB,2022-11-18,299,1,0.67,4,2.0,103,3.88,1,0.33,2,2.0,9,22.22
Sample TRG,2022-11-18,176,1,0.56,1,1.0,7,14.29,1,0.56,1,1.0,1,100.0
SigM2,2022-11-18,1600,1,0.06,1,1.0,15,6.67,1,0.06,1,1.0,1,100.0
SignatureSurveys,2022-11-18,958,1,0.1,2,2.0,15,13.33,1,0.1,2,2.0,3,66.67
SwpGF1,2022-11-18,18,1,5.26,1,1.0,3,33.33,1,5.26,1,1.0,1,100.0
GIFTCARDGRABBER MIKD2,2022-11-18,225,1,0.44,1,1.0,5,20.0,1,0.44,1,1.0,1,100.0
